f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
413,cell,203,95,7discuss,discus,snetwork,view,owner,seven
146,player,194,15,4pretty,consum,erwall,situation,real,girl
988,factor,173,13,around,save,white,morning,budget,key
500,different,442,96,7size,threat,type,now,ago,all
202,address,621,28,4take,blood,vote,discover,quality,sing
620,trial,73,25,6question,actual,lyhimself,important,administration,light
456,can,953,27,4resource,add,test,address,involve,move
188,far,601,79,0tonight,part,rock,difference,hot,prove
413,item,22,14,5operation,up,open,born,next,mind
781,be,531,80,8red,stock,those,black,to,lot
467,fine,374,99,8itself,away,dream,recognize,national,his
708,century,333,50,0important,even,lay,soldier,marriage,economy
707,ahead,377,24,2stay,too,study,option,identify,visit
629,call,422,35,1civil,manage,rtry,daughter,also,art
11,work,70,82,5choice,majori,tyenter,base,area,life
107,well,985,28,structure,beyond,wait,still,whole,couple
184,onto,890,62,6simple,kind,pull,skill,company,outside
105,live,460,17,hospital,system,day,candidate,ball,white
309,forget,79,22,5office,none,store,watch,Republican,likely
926,one,861,68,5particularly,would,themselve,sothers,school,never
267,recent,718,15,2provide,admini,strationpr,esident hour,best,proce
170,recognize,612,53,8PM,foot,for,buy,for,report
127,growth,895,32,6data,group,reveal,now,same,half
805,discuss,888,78,2wrong,within,even,manager,give,generation
215,perhaps,438,84,9back,player,teacher,customer,hear,happen
870,goal,298,67,nor,size,him,civil,dog,best
686,politics,127,18,choose,find,writer,check,family,of
335,word,73,54,4natural,popula,tionsectio,n   whole,PM,hard
879,yard,516,78,1throughout,those,be,spend,rise,similar
794,attack,509,7,home,hour,ever,eat,American,relate
637,citizen,650,37,4begin,tend,before,treatment,fish,we
944,son,61,48,2media,summer,for,when,arm,worker
212,place,46,33,9bring,too,enter,rate,dream,discussion
307,with,305,79,7girl,unit,trip,job,than,camera
226,way,840,45,3every,near,away,civil,sister,travel
98,through,278,62,4cause,both,often,debate,public,likely
70,everyone,724,27,0deal,thing,important,teach,what,never
923,employee,390,93,6opportunity,pictur,epretty,fall,measure,discover
305,democratic,799,38,1short,langua,geMrs,skill,radio,training
646,hit,965,32,9official,modern,policy,reflect,can,high
592,true,199,25,4meeting,senior,let,service,finally,deep
324,keep,159,44,2friend,qualit,ythird,land,hear,or
575,marriage,855,98,8guess,total,dinner,good,without,ask
715,any,744,66,3to,wear,piece,red,fill,left
564,country,897,58,6hold,fall,increase,manager,drug,per
147,me,919,77,1Democrat,discus,sstate,how,adult,line
254,capital,915,55,8surface,next,section,together,town,last
463,fly,401,18,2behind,econom,ycollectio,nrecord,focus,hold
919,generation,835,23,5onto,number,any,worker,identify,should
403,mean,730,85,5hair,painti,ngnational,daughter,its,sell
697,music,26,49,8perhaps,newspa,perpolicy,trip,word,message
765,either,210,95,3serve,power,bit,yourself,laugh,sport
481,ability,536,49,6daughter,in,finish,machine,message,toward
708,news,233,67,8include,meet,plan,ball,three,check
453,activity,266,24,5adult,behind,kitchen,successful,security,mother
711,husband,352,10,2husband,body,go,speech,throw,high
607,each,631,42,2animal,church,treat,computer,own,school
667,child,913,91,0by,guess,especiall,ywhich,real,individual
430,see,199,62,4trade,hot,will,which,entire,increase
544,may,686,81,2project,least,more,follow,special,animal
334,marriage,746,59,7maintain,langua,geresponsi,bilityamong,join,medical
24,near,177,38,1serious,so,quality,through,defense,sort
882,guy,916,47,2report,away,none,dark,service,low
775,citizen,569,54,0grow,town,instead,professional,nice,land
515,check,421,86,2class,what,election,quite,evidence,how
214,another,415,20,6internationa,lalone,usually,could,choose,upon
45,former,881,51,7walk,take,support,environment,environmental,thousand
851,clearly,449,81,9fire,indust,ryincrease,lawyer,meeting,oil
42,decade,225,68,7know,skill,stage,likely,central,down
65,practice,977,74,7morning,establ,ishwhite,fine,add,herself
646,into,422,51,quickly,often,that,son,speak,computer
945,campaign,307,37,5team,identi,fyknowledg,e a,attorney,or
289,view,992,57,9one,stop,participa,ntDemocrat,seat,party
930,rest,291,20,4return,might,skill,reveal,partner,anything
874,institution,11,21,9item,establ,ishresearc,h  developmen,t  exist,them
760,of,38,64,2coach,moment,think,fall,sister,condition
783,soon,966,95,3every,respon,segreat,court,lead,or
24,traditional,475,82,8measure,positi,vefield,film,evening,over
981,rich,97,26,7everything,rememb,erdecide,process,scene,fact
18,indeed,832,35,4meet,effect,girl,statement,me,ground
47,purpose,315,49,6open,degree,sort,never,meeting,book
31,eye,696,16,8care,wall,no,case,health,should
425,store,172,74,5event,democr,aticpolicy,economy,continue,research
793,investment,396,94,7cold,goal,painting,finally,phone,describe
839,character,972,44,6general,dream,year,debate,long,information
684,somebody,536,69,else,allow,minute,peace,part,whose
342,own,520,32,5particular,stuff,student,after,watch,maybe
846,few,231,57,1this,each,ability,but,medical,night
107,like,252,41,7response,troubl,esocial,adult,set,yes
971,soldier,794,16,8blue,forget,around,type,rule,east
625,whom,340,70,9dinner,sudden,lymaterial,civil,thousand,exactly
123,fly,232,35,themselves,approac,hrather,despite,brother,unit
938,institution,561,43,0fine,tax,I,beyond,suggest,plan
299,purpose,525,38,0drug,newspa,permove,admit,feel,rich
89,appear,214,11,0particular,hour,too,player,role,community
317,focus,508,23,1manager,each,toward,try,close,special
789,system,293,34,6person,common,almost,of,week,generation
105,wrong,67,32,0Republican,you,feel,race,he,community
99,dream,453,90,probably,teach,marriage,whose,peace,program
917,thought,168,24,1glass,oil,program,lay,end,clear
